domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
leadership_approach|results_people_vision_process|balanced|Several leadership responses are available here. Use the rank order as a map: Results, People, Vision, and Process. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, People, Vision, and Process. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, People, Vision, and Process.|Name the current need before changing emphasis. Then bring in Process when sequence, standards, and dependable structure would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_people_vision_process::balanced
leadership_approach|process_results_vision_people|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep Results, Vision, and People available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. Results, Vision, and People extend that value when the work needs decision, ownership, and follow-through, direction, meaning, and future consequence, or trust, communication, and shared commitment.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. People may need to enter earlier when the first response has already created enough structure.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; People keeps the range in view.|active|leadership_approach::process_results_vision_people::concentrated
leadership_approach|process_results_vision_people|paired|Read Process and Results as a working pair. Let the steps, standards, and handovers are clear enough to follow sit alongside the outcome, owner, and next move are clear, then bring in Vision and People when the work needs more range.|Process and Results together connect sequence, standards, and dependable structure with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Vision or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Process and Results carry the centre; People keeps the work rounded.|active|leadership_approach::process_results_vision_people::paired
leadership_approach|process_results_vision_people|graduated|Read the order as a stepped pattern of influence: Process, then Results, then Vision, with People added deliberately. The closing point is to follow that order while still making room for trust, communication, and shared commitment.|The rank order gives the work a clear movement from sequence, standards, and dependable structure through decision, ownership, and follow-through and direction, meaning, and future consequence. People adds the final range when the situation calls for trust, communication, and shared commitment.|The sequence can become too closed when later signals are left until the situation has already tightened. People matters when the work now needs trust, communication, and shared commitment.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for People before the work closes in.|active|leadership_approach::process_results_vision_people::graduated
leadership_approach|process_results_vision_people|balanced|Several leadership responses are available here. Use the rank order as a map: Process, Results, Vision, and People. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Process, Results, Vision, and People. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Process, Results, Vision, and People.|Name the current need before changing emphasis. Then bring in People when trust, communication, and shared commitment would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::process_results_vision_people::balanced
leadership_approach|process_results_people_vision|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep Results, People, and Vision available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. Results, People, and Vision extend that value when the work needs decision, ownership, and follow-through, trust, communication, and shared commitment, or direction, meaning, and future consequence.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. Vision may need to enter earlier when the first response has already created enough structure.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; Vision keeps the range in view.|active|leadership_approach::process_results_people_vision::concentrated
leadership_approach|process_results_people_vision|paired|Read Process and Results as a working pair. Let the steps, standards, and handovers are clear enough to follow sit alongside the outcome, owner, and next move are clear, then bring in People and Vision when the work needs more range.|Process and Results together connect sequence, standards, and dependable structure with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when People or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|Process and Results carry the centre; Vision keeps the work rounded.|active|leadership_approach::process_results_people_vision::paired
leadership_approach|process_results_people_vision|graduated|Read the order as a stepped pattern of influence: Process, then Results, then People, with Vision added deliberately. The closing point is to follow that order while still making room for direction, meaning, and future consequence.|The rank order gives the work a clear movement from sequence, standards, and dependable structure through decision, ownership, and follow-through and trust, communication, and shared commitment. Vision adds the final range when the situation calls for direction, meaning, and future consequence.|The sequence can become too closed when later signals are left until the situation has already tightened. Vision matters when the work now needs direction, meaning, and future consequence.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Vision before the work closes in.|active|leadership_approach::process_results_people_vision::graduated
leadership_approach|process_results_people_vision|balanced|Several leadership responses are available here. Use the rank order as a map: Process, Results, People, and Vision. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Process, Results, People, and Vision. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Process, Results, People, and Vision.|Name the current need before changing emphasis. Then bring in Vision when direction, meaning, and future consequence would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::process_results_people_vision::balanced
leadership_approach|process_vision_results_people|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep Vision, Results, and People available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. Vision, Results, and People extend that value when the work needs direction, meaning, and future consequence, decision, ownership, and follow-through, or trust, communication, and shared commitment.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. People may need to enter earlier when the first response has already created enough structure.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; People keeps the range in view.|active|leadership_approach::process_vision_results_people::concentrated
leadership_approach|process_vision_results_people|paired|Read Process and Vision as a working pair. Let the steps, standards, and handovers are clear enough to follow sit alongside the work has a reason that connects today to what comes next, then bring in Results and People when the work needs more range.|Process and Vision together connect sequence, standards, and dependable structure with direction, meaning, and future consequence. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Results or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Process and Vision carry the centre; People keeps the work rounded.|active|leadership_approach::process_vision_results_people::paired
leadership_approach|process_vision_results_people|graduated|Read the order as a stepped pattern of influence: Process, then Vision, then Results, with People added deliberately. The closing point is to follow that order while still making room for trust, communication, and shared commitment.|The rank order gives the work a clear movement from sequence, standards, and dependable structure through direction, meaning, and future consequence and decision, ownership, and follow-through. People adds the final range when the situation calls for trust, communication, and shared commitment.|The sequence can become too closed when later signals are left until the situation has already tightened. People matters when the work now needs trust, communication, and shared commitment.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for People before the work closes in.|active|leadership_approach::process_vision_results_people::graduated
leadership_approach|process_vision_results_people|balanced|Several leadership responses are available here. Use the rank order as a map: Process, Vision, Results, and People. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Process, Vision, Results, and People. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Process, Vision, Results, and People.|Name the current need before changing emphasis. Then bring in People when trust, communication, and shared commitment would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::process_vision_results_people::balanced
leadership_approach|process_vision_people_results|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep Vision, People, and Results available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. Vision, People, and Results extend that value when the work needs direction, meaning, and future consequence, trust, communication, and shared commitment, or decision, ownership, and follow-through.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. Results may need to enter earlier when the first response has already created enough structure.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; Results keeps the range in view.|active|leadership_approach::process_vision_people_results::concentrated
leadership_approach|process_vision_people_results|paired|Read Process and Vision as a working pair. Let the steps, standards, and handovers are clear enough to follow sit alongside the work has a reason that connects today to what comes next, then bring in People and Results when the work needs more range.|Process and Vision together connect sequence, standards, and dependable structure with direction, meaning, and future consequence. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when People or Results is needed to complete the picture. The risk is a context mismatch: the work may need decision, ownership, and follow-through sooner than the pair expects.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Bring in Results when the work needs a firmer decision, owner, or visible next move. The pair stays steadier when these checks arrive before the answer feels settled.|Process and Vision carry the centre; Results keeps the work rounded.|active|leadership_approach::process_vision_people_results::paired
leadership_approach|process_vision_people_results|graduated|Read the order as a stepped pattern of influence: Process, then Vision, then People, with Results added deliberately. The closing point is to follow that order while still making room for decision, ownership, and follow-through.|The rank order gives the work a clear movement from sequence, standards, and dependable structure through direction, meaning, and future consequence and trust, communication, and shared commitment. Results adds the final range when the situation calls for decision, ownership, and follow-through.|The sequence can become too closed when later signals are left until the situation has already tightened. Results matters when the work now needs decision, ownership, and follow-through.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Results before the work closes in.|active|leadership_approach::process_vision_people_results::graduated
leadership_approach|process_vision_people_results|balanced|Several leadership responses are available here. Use the rank order as a map: Process, Vision, People, and Results. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Process, Vision, People, and Results. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Process, Vision, People, and Results.|Name the current need before changing emphasis. Then bring in Results when decision, ownership, and follow-through would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::process_vision_people_results::balanced
leadership_approach|process_people_results_vision|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep People, Results, and Vision available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. People, Results, and Vision extend that value when the work needs trust, communication, and shared commitment, decision, ownership, and follow-through, or direction, meaning, and future consequence.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. Vision may need to enter earlier when the first response has already created enough structure.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; Vision keeps the range in view.|active|leadership_approach::process_people_results_vision::concentrated
leadership_approach|process_people_results_vision|paired|Read Process and People as a working pair. Let the steps, standards, and handovers are clear enough to follow sit alongside people understand the work, their part in it, and how to commit, then bring in Results and Vision when the work needs more range.|Process and People together connect sequence, standards, and dependable structure with trust, communication, and shared commitment. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Results or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|Process and People carry the centre; Vision keeps the work rounded.|active|leadership_approach::process_people_results_vision::paired
leadership_approach|process_people_results_vision|graduated|Read the order as a stepped pattern of influence: Process, then People, then Results, with Vision added deliberately. The closing point is to follow that order while still making room for direction, meaning, and future consequence.|The rank order gives the work a clear movement from sequence, standards, and dependable structure through trust, communication, and shared commitment and decision, ownership, and follow-through. Vision adds the final range when the situation calls for direction, meaning, and future consequence.|The sequence can become too closed when later signals are left until the situation has already tightened. Vision matters when the work now needs direction, meaning, and future consequence.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Vision before the work closes in.|active|leadership_approach::process_people_results_vision::graduated
leadership_approach|process_people_results_vision|balanced|Several leadership responses are available here. Use the rank order as a map: Process, People, Results, and Vision. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Process, People, Results, and Vision. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Process, People, Results, and Vision.|Name the current need before changing emphasis. Then bring in Vision when direction, meaning, and future consequence would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::process_people_results_vision::balanced
leadership_approach|process_people_vision_results|concentrated|With Process clearly strongest, start from the condition it gives you: the steps, standards, and handovers are clear enough to follow. Keep People, Vision, and Results available so the response can widen when the situation asks for more than the first move.|Process gives the work order, repeatability, and a dependable way for others to follow. People, Vision, and Results extend that value when the work needs trust, communication, and shared commitment, direction, meaning, and future consequence, or decision, ownership, and follow-through.|The pattern can tighten when method keeps absorbing attention after the work is clear enough to move. Results may need to enter earlier when the first response has already created enough structure.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Do this while Process is still working, so range arrives before the response becomes too narrow.|Process gives the start; Results keeps the range in view.|active|leadership_approach::process_people_vision_results::concentrated
